scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-16T10:38:07+00:00,2,p03,6,Saudi Arabia,Uruguay,Group H,1-1,0-2,0
2026-06-16T10:38:07+00:00,2,p11,6,Saudi Arabia,Uruguay,Group H,1-1,2-2,2
2026-06-16T10:38:07+00:00,2,self,6,Saudi Arabia,Uruguay,Group H,1-1,0-1,0
2026-06-16T10:38:07+00:00,2,p10,6,Saudi Arabia,Uruguay,Group H,1-1,1-0,0
2026-06-16T10:38:07+00:00,2,p06,6,Saudi Arabia,Uruguay,Group H,1-1,0-2,0
2026-06-16T10:38:07+00:00,2,p04,6,Saudi Arabia,Uruguay,Group H,1-1,2-1,0
2026-06-16T10:38:07+00:00,2,p07,7,Iran,New Zealand,Group G,2-2,0-1,0
2026-06-16T10:38:07+00:00,2,p02,7,Iran,New Zealand,Group G,2-2,1-1,2
2026-06-16T10:38:07+00:00,2,p08,7,Iran,New Zealand,Group G,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p05,7,Iran,New Zealand,Group G,2-2,1-2,0
2026-06-16T10:38:07+00:00,2,p01,7,Iran,New Zealand,Group G,2-2,0-1,0
2026-06-16T10:38:07+00:00,2,p03,7,Iran,New Zealand,Group G,2-2,2-1,0
2026-06-16T10:38:07+00:00,2,p11,7,Iran,New Zealand,Group G,2-2,1-2,0
2026-06-16T10:38:07+00:00,2,self,7,Iran,New Zealand,Group G,2-2,1-0,0
2026-06-16T10:38:07+00:00,2,p10,7,Iran,New Zealand,Group G,2-2,1-1,2
2026-06-16T10:38:07+00:00,2,p06,7,Iran,New Zealand,Group G,2-2,1-0,0
2026-06-16T10:38:07+00:00,2,p04,7,Iran,New Zealand,Group G,2-2,2-3,0
2026-06-18T12:52:58+00:00,3,p07,0,France,Senegal,Group I,3-1,3-1,4
2026-06-18T12:52:58+00:00,3,p02,0,France,Senegal,Group I,3-1,2-1,2
2026-06-18T12:52:58+00:00,3,p08,0,France,Senegal,Group I,3-1,3-0,2
2026-06-18T12:52:58+00:00,3,p05,0,France,Senegal,Group I,3-1,3-0,2
2026-06-18T12:52:58+00:00,3,p01,0,France,Senegal,Group I,3-1,2-0,3
2026-06-18T12:52:58+00:00,3,p03,0,France,Senegal,Group I,3-1,1-1,0
2026-06-18T12:52:58+00:00,3,self,0,France,Senegal,Group I,3-1,2-0,3
2026-06-18T12:52:58+00:00,3,p10,0,France,Senegal,Group I,3-1,4-0,2
2026-06-18T12:52:58+00:00,3,p09,0,France,Senegal,Group I,3-1,1-1,0
2026-06-18T12:52:58+00:00,3,p06,0,France,Senegal,Group I,3-1,3-1,4
2026-06-18T12:52:58+00:00,3,p07,1,Iraq,Norway,Group I,1-4,0-3,3
2026-06-18T12:52:58+00:00,3,p02,1,Iraq,Norway,Group I,1-4,0-1,2
2026-06-18T12:52:58+00:00,3,p08,1,Iraq,Norway,Group I,1-4,0-3,3
2026-06-18T12:52:58+00:00,3,p05,1,Iraq,Norway,Group I,1-4,1-3,2
2026-06-18T12:52:58+00:00,3,p01,1,Iraq,Norway,Group I,1-4,0-1,2
2026-06-18T12:52:58+00:00,3,p03,1,Iraq,Norway,Group I,1-4,0-1,2
